x	xend	y	yend	clickSelects
1	15	2.04175370688883	-5.43221634762122	1
1	15	2.08257003341944	-4.81997144966204	2
1	15	2.12338635995005	-4.20772655170285	3
1	15	2.16420268648067	-3.59548165374367	4
1	15	2.20501901301128	-2.98323675578449	5
1	15	2.24583533954189	-2.3709918578253	6
1	15	2.2866516660725	-1.75874695986612	7
1	15	2.32746799260311	-1.14650206190694	8
1	15	2.36828431913373	-0.534257163947753	9
1	15	2.40910064566434	0.0779877340114314	10
1	15	2.44991697219495	0.690232631970615	11
1	15	2.49073329872556	1.3024775299298	12
1	15	2.53154962525618	1.91472242788898	13
1	15	2.57236595178679	2.52696732584817	14
1	15	2.6131822783174	3.13921222380735	15
1	15	2.65399860484801	3.75145712176653	16
1	15	2.69481493137862	4.36370201972572	17
1	15	2.73563125790924	4.9759469176849	18
1	15	2.77644758443985	5.58819181564408	19
1	15	2.81726391097046	6.20043671360327	20
1	15	2.85808023750107	6.81268161156245	21
1	15	2.89889656403169	7.42492650952164	22
1	15	2.9397128905623	8.03717140748082	23
1	15	2.98052921709291	8.64941630544	24
1	15	3.02134554362352	9.26166120339919	25
1	15	3.06216187015413	9.87390610135837	26
1	15	3.10297819668475	10.4861509993176	27
1	15	3.14379452321536	11.0983958972767	28
1	15	3.18461084974597	11.7106407952359	29
1	15	3.22542717627658	12.3228856931951	30
1	15	3.2662435028072	12.9351305911543	31
1	15	3.30705982933781	13.5473754891135	32
1	15	3.34787615586842	14.1596203870727	33
1	15	3.38869248239903	14.7718652850318	34
1	15	3.42950880892965	15.384110182991	35
1	15	3.47032513546026	15.9963550809502	36
1	15	3.51114146199087	16.6085999789094	37
1	15	3.55195778852148	17.2208448768686	38
1	15	3.59277411505209	17.8330897748278	39
1	15	3.63359044158271	18.4453346727869	40
1	15	3.67440676811332	19.0575795707461	41
1	15	3.71522309464393	19.6698244687053	42
1	15	3.75603942117454	20.2820693666645	43
1	15	3.79685574770516	20.8943142646237	44
1	15	3.83767207423577	21.5065591625829	45
1	15	3.87848840076638	22.118804060542	46
1	15	3.91930472729699	22.7310489585012	47
1	15	3.9601210538276	23.3432938564604	48
1	15	4.00093738035822	23.9555387544196	49
1	15	4.04175370688883	24.5677836523788	50
